INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 181/5000 | Policy Loss: 0.1428 | Value Loss: 0.0316
INFO:root:Epoch 182/5000 | Policy Loss: 0.1993 | Value Loss: 0.0409
INFO:root:Epoch 183/5000 | Policy Loss: -0.6532 | Value Loss: 0.7543
INFO:root:Epoch 184/5000 | Policy Loss: -0.5800 | Value Loss: 0.2955
INFO:root:Epoch 185/5000 | Policy Loss: -0.3225 | Value Loss: 0.1177
INFO:root:Epoch 186/5000 | Policy Loss: 0.2079 | Value Loss: 0.0429
INFO:root:Epoch 187/5000 | Policy Loss: -0.8876 | Value Loss: 0.5469
INFO:root:Epoch 188/5000 | Policy Loss: -0.5665 | Value Loss: 0.3549
INFO:root:Epoch 189/5000 | Policy Loss: 0.1745 | Value Loss: 0.1323
INFO:root:Epoch 190/5000 | Policy Loss: -0.3691 | Value Loss: 0.1737
INFO:root:Epoch 191/5000 | Policy Loss: -0.2414 | Value Loss: 0.0803
INFO:root:Epoch 192/5000 | Policy Loss: -0.3114 | Value Loss: 0.0359
INFO:root:Epoch 193/5000 | Policy Loss: -0.5306 | Value Loss: 0.1656
INFO:root:Epoch 194/5000 | Policy Loss: -0.1763 | Value Loss: 0.0725
INFO:root:Epoch 195/5000 | Policy Loss: -0.1785 | Value Loss: 0.2797
INFO:root:Epoch 196/5000 | Policy Loss: -0.6444 | Value Loss: 0.0955
INFO:root:Epoch 197/5000 | Policy Loss: -0.2042 | Value Loss: 0.1466
INFO:root:Epoch 198/5000 | Policy Loss: 0.3749 | Value Loss: 0.0427
INFO:root:Epoch 199/5000 | Policy Loss: -0.1351 | Value Loss: 0.0626
INFO:root:Epoch 200/5000 | Policy Loss: -0.4214 | Value Loss: 0.0646
INFO:root:Epoch 200 evaluation score: 0.91
INFO:root:Epoch 201/5000 | Policy Loss: 0.2248 | Value Loss: 0.0448
INFO:root:Epoch 202/5000 | Policy Loss: -0.4241 | Value Loss: 0.7273
INFO:root:Epoch 203/5000 | Policy Loss: -0.4336 | Value Loss: 0.1321
INFO:root:Epoch 204/5000 | Policy Loss: -0.1584 | Value Loss: 0.0850
INFO:root:Epoch 205/5000 | Policy Loss: -0.4508 | Value Loss: 0.4323
INFO:root:Epoch 206/5000 | Policy Loss: -0.3247 | Value Loss: 0.1449
INFO:root:Epoch 207/5000 | Policy Loss: -0.0963 | Value Loss: 0.0960
INFO:root:Epoch 208/5000 | Policy Loss: 0.2496 | Value Loss: 0.0515
INFO:root:Epoch 209/5000 | Policy Loss: 0.2598 | Value Loss: 0.0442
INFO:root:Epoch 210/5000 | Policy Loss: -1.1724 | Value Loss: 0.1164
INFO:root:Epoch 211/5000 | Policy Loss: -0.5349 | Value Loss: 0.8645
INFO:root:Epoch 212/5000 | Policy Loss: -1.0604 | Value Loss: 0.0965
INFO:root:Epoch 213/5000 | Policy Loss: 0.1611 | Value Loss: 0.0822
INFO:root:Epoch 214/5000 | Policy Loss: -0.0839 | Value Loss: 0.0490
INFO:root:Epoch 215/5000 | Policy Loss: -0.3300 | Value Loss: 0.0758
INFO:root:Epoch 216/5000 | Policy Loss: -0.5752 | Value Loss: 0.1432
INFO:root:Epoch 217/5000 | Policy Loss: -0.3032 | Value Loss: 0.0399
INFO:root:Epoch 218/5000 | Policy Loss: -0.0787 | Value Loss: 0.3696
INFO:root:Epoch 219/5000 | Policy Loss: -0.1744 | Value Loss: 0.0632
INFO:root:Epoch 220/5000 | Policy Loss: -0.1643 | Value Loss: 0.0445
INFO:root:Epoch 220 evaluation score: 0.36
INFO:root:Epoch 221/5000 | Policy Loss: -0.0960 | Value Loss: 0.1024
INFO:root:Epoch 222/5000 | Policy Loss: -0.5854 | Value Loss: 0.3503
INFO:root:Epoch 223/5000 | Policy Loss: -0.5896 | Value Loss: 0.0558
INFO:root:Epoch 224/5000 | Policy Loss: -0.0978 | Value Loss: 0.0858
INFO:root:Epoch 225/5000 | Policy Loss: -0.3775 | Value Loss: 0.2752
INFO:root:Epoch 226/5000 | Policy Loss: -1.4592 | Value Loss: 1.0324
INFO:root:Epoch 227/5000 | Policy Loss: -0.6439 | Value Loss: 0.1117
INFO:root:Epoch 228/5000 | Policy Loss: -0.5742 | Value Loss: 0.1514
INFO:root:Epoch 229/5000 | Policy Loss: 0.1110 | Value Loss: 0.0628
INFO:root:Epoch 230/5000 | Policy Loss: 0.3716 | Value Loss: 0.0549
INFO:root:Epoch 231/5000 | Policy Loss: -0.2417 | Value Loss: 0.0460
INFO:root:Epoch 232/5000 | Policy Loss: 0.2489 | Value Loss: 0.0316
INFO:root:Epoch 233/5000 | Policy Loss: 0.0707 | Value Loss: 0.0979
INFO:root:Epoch 234/5000 | Policy Loss: 0.1598 | Value Loss: 0.0226
INFO:root:Epoch 235/5000 | Policy Loss: -0.9153 | Value Loss: 0.1672
INFO:root:Epoch 236/5000 | Policy Loss: -0.0335 | Value Loss: 0.0441
INFO:root:Epoch 237/5000 | Policy Loss: -0.7307 | Value Loss: 0.0645
INFO:root:Epoch 238/5000 | Policy Loss: 0.0378 | Value Loss: 0.0388
INFO:root:Epoch 239/5000 | Policy Loss: -0.1774 | Value Loss: 0.1021
INFO:root:Epoch 240/5000 | Policy Loss: -0.2840 | Value Loss: 0.0835
INFO:root:Epoch 240 evaluation score: 0.04
INFO:root:Epoch 241/5000 | Policy Loss: -0.6162 | Value Loss: 0.1241
